id,price,latitude,longitude,katastrinumber,url
3668230,400 €  8.55 €/m²,58.3770375,26.6818738,,https://www.kv.ee/3668230
3675772,750 €  12.4 €/m²,58.377453869741,26.720444442344,,https://www.kv.ee/3675772
3678099,800 €  20.1 €/m²,58.3775933,26.7181978,79507:031:0002,https://www.kv.ee/3678099
3679763,1 500 €  15.2 €/m²,58.378039,26.721687,79507:023:000,https://www.kv.ee/3679763
3681459,1 800 €  12.1 €/m²,58.355808,26.733458,79510:006:0013,https://www.kv.ee/3681459
3684738,395 €  11 €/m²,58.3676524,26.7191239,,https://www.kv.ee/3684738
3686237,400 €  8.55 €/m²,58.38387999999999,26.7522745,,https://www.kv.ee/3686237
3686979,450 €  10.1 €/m²,58.390057,26.729495,79512:041:0019,https://www.kv.ee/3686979
3688082,990 €  14.4 €/m²,58.382567,26.694218,79501:004:0004,https://www.kv.ee/3688082
3691843,2 000 €  15.7 €/m²,58.38971180000001,26.7352134,,https://www.kv.ee/3691843
3695684,699 €  4.63 €/m²,58.3676827,26.6805895,,https://www.kv.ee/3695684
3696698,360 €  14.2 €/m²,58.378081,26.707064,79506:003:0005,https://www.kv.ee/3696698
3699032,950 €  10.8 €/m²,58.3714605,26.732889,,https://www.kv.ee/3699032
3702438,490 €  14 €/m²,58.3758119,26.7130111,,https://www.kv.ee/3702438
3702569,240 €  17.1 €/m²,58.3763299,26.7186576,,https://www.kv.ee/3702569
3704446,270 €  15.9 €/m²,58.36832406282822,26.714852231704235,79506:006:0009,https://www.kv.ee/3704446
3706106,600 €  10.1 €/m²,58.374189,26.759961,79516:023:0005,https://www.kv.ee/3706106
3706579,270 €  9.64 €/m²,58.3839703,26.7392344,79514:020:0006,https://www.kv.ee/3706579
3706586,1 300 €  14.6 €/m²,58.3770689,26.7135801,79507:022:0020,https://www.kv.ee/3706586
3706689,400 €  13.7 €/m²,58.389588,26.722853,79514:007:0011,https://www.kv.ee/3706689
3710029,450 €  11.3 €/m²,58.37634,26.728055,79507:047:0004,https://www.kv.ee/3710029
